cf,pa,ef,cha,temporalidad,ace,sa,productores_atendidos
Plagas del Cafeto,"Broca del café (Hypothenemus hampei), Roya del cafeto (Hemileia vastatrix) y barrenador negro de las ramas (Xylosandrus compactus)",Chiapas,Cafeto,Tercer Trimestre,Trampeo y Control Químico,7032.0,2960.0
Plagas del Cafeto,"Broca del café (Hypothenemus hampei), Roya del cafeto (Hemileia vastatrix) y barrenador negro de las ramas (Xylosandrus compactus)",Guerrero,Cafeto,Tercer Trimestre,Trampeo y Control Químico,3289.0,1726.0
Plagas del Cafeto,Broca del café (Hypothenemus hampei) y Roya del cafeto (Hemileia vastatrix),Hidalgo,Cafeto,Tercer Trimestre,Trampeo y Control Químico,1000.0,962.0
Plagas del Cafeto,"Broca del café (Hypothenemus hampei), Roya del cafeto (Hemileia vastatrix) y barrenador negro de las ramas (Xylosandrus compactus)",Oaxaca,Cafeto,Tercer Trimestre,Trampeo y Control Químico,2178.0,1481.0
Plagas del Cafeto,"Broca del café (Hypothenemus hampei), Roya del cafeto (Hemileia vastatrix) y barrenador negro de las ramas (Xylosandrus compactus)",Puebla,Cafeto,Tercer Trimestre,Trampeo y Control Químico,2522.0,1592.0
Plagas del Cafeto,"Broca del café (Hypothenemus hampei), Roya del cafeto (Hemileia vastatrix) y barrenador negro de las ramas (Xylosandrus compactus)",Veracruz,Cafeto,Tercer Trimestre,Trampeo y Control Químico,5850.0,3518.0
Plagas Reglamentadas del Aguacatero,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Colima,Aguacatero,Tercer Trimestre,Control Cultural y Control Químico,2.0,120.0
Plagas Reglamentadas del Aguacatero,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Estado de México,Aguacatero,Tercer Trimestre,Control Cultural y Control Químico,161.0,91.0
Plagas Reglamentadas del Aguacatero,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Jalisco,Aguacatero,Tercer Trimestre,Control Cultural y Control Químico,143.0,165.0
Plagas Reglamentadas del Aguacatero,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Michoacán,Aguacatero,Tercer Trimestre,Control Cultural y Control Químico,55.0,100.0
