cf,pa,ef,cha,temporalidad,ace, sa , productores_atendidos
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Baja California Sur,Naranja,Segundo Trimestre,Control Químico (Imidacloprid),2322,62
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Sonora,Limón ,Segundo Trimestre,Control Químico (Imidacloprid),776,38
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Sonora,Mandarina ,Segundo Trimestre,Control Químico (Imidacloprid),434,21
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Sonora,Naranja,Segundo Trimestre,Control Químico (Imidacloprid),9270,265
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Sonora,Toronja ,Segundo Trimestre,Control Químico (Imidacloprid),356,18
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Campeche ,Limón ,Segundo Trimestre,Control Biológico (Tamarixia radiata),55,8
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Colima ,Limón ,Segundo Trimestre,Control Biológico (Tamarixia radiata),35,4
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Jalisco ,Limón ,Segundo Trimestre,Control Biológico (Tamarixia radiata),34,18
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Jalisco ,Naranja,Segundo Trimestre,Control Biológico (Tamarixia radiata),6,4
Plagas de los Cítricos,Leprosis de los cítricos  (Citrus Leprosis Virus),Jalisco,Limón ,Segundo Trimestre,Control cultural ,41,5
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Morelos,Limón,Segundo Trimestre,Control Biológico (Chrysoperla externa),31,20
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Morelos,Limón ,Segundo Trimestre,Control Biológico (Tamarixia radiata),73,73
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Nuevo León ,Limón ,Segundo Trimestre,Control Biológico (Tamarixia radiata),3,1
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Nuevo León ,Naranja,Segundo Trimestre,Control Biológico (Tamarixia radiata),157,29
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Nuevo León ,Toronja ,Segundo Trimestre,Control Biológico (Tamarixia radiata),16,2
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Oaxaca,Limón,Segundo Trimestre,Control Biológico (Tamarixia radiata),213,48
Plagas de los Cítricos,Mosca prieta de los citricos  (Aleurocanthus woglumi),Oaxaca,Limón,Segundo Trimestre,Control Biológico (Chrysoperla externa),10,2
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Puebla,Limón,Segundo Trimestre,Control Biológico (Tamarixia radiata),89,5
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Puebla,Mandarina ,Segundo Trimestre,Control Biológico (Tamarixia radiata),54,14
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Puebla,Naranja,Segundo Trimestre,Control Biológico (Tamarixia radiata),417,82
Plagas de los Cítricos,Pulgón café de los cítricos (Aphis citricidus),Puebla,Limón ,Segundo Trimestre,Control Biológico (Chrysoperla externa),80,4
Plagas de los Cítricos,Pulgón café de los cítricos (Aphis citricidus),Puebla,Naranja,Segundo Trimestre,Control Biológico (Chrysoperla externa),250,4
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Quintana Roo,Limón ,Segundo Trimestre,Control Biológico (Tamarixia radiata),199,37
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Quintana Roo,Naranja,Segundo Trimestre,Control Biológico (Tamarixia radiata),16,5
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),San Luis Potosí ,Limón ,Segundo Trimestre,Control Biológico (Chrysoperla externa),3,1
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),San Luis Potosí ,Mandarina ,Segundo Trimestre,Control Biológico (Chrysoperla externa),2,1
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),San Luis Potosí ,Mandarina ,Segundo Trimestre,Control Biológico (Tamarixia radiata),11,3
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),San Luis Potosí ,Naranja,Segundo Trimestre,Control Biológico (Chrysoperla externa),129,81
