cf,pa,ef,cha,temporalidad,ace,sa,productores_atendidos
Plagas del Cafeto,"Broca del café (Hypothenemus hampei), Roya del cafeto (Hemileia vastatrix) y barrenador negro de las ramas (Xylosandrus compactus)",Chiapas,Cafeto,Cuarto Trimestre,Trampeo y Control Químico,7655,2932
Plagas del Cafeto,"Broca del café (Hypothenemus hampei), Roya del cafeto (Hemileia vastatrix) y barrenador negro de las ramas (Xylosandrus compactus)",Guerrero,Cafeto,Cuarto Trimestre,Trampeo y Control Químico,1072,593
Plagas del Cafeto,"Broca del café (Hypothenemus hampei), Roya del cafeto (Hemileia vastatrix)",Nayarit,Cafeto,Cuarto Trimestre,Trampeo y Control Químico,1500,751
Plagas del Cafeto,"Broca del café (Hypothenemus hampei), Roya del cafeto (Hemileia vastatrix) y barrenador negro de las ramas (Xylosandrus compactus)",Oaxaca,Cafeto,Cuarto Trimestre,Trampeo y Control Químico,882,615
Plagas del Cafeto,"Broca del café (Hypothenemus hampei), Roya del cafeto (Hemileia vastatrix) y barrenador negro de las ramas (Xylosandrus compactus)",Puebla,Cafeto,Cuarto Trimestre,Trampeo y Control Químico,2406,1602
Plagas del Cafeto,"Broca del café (Hypothenemus hampei), Roya del cafeto (Hemileia vastatrix) y barrenador negro de las ramas (Xylosandrus compactus)",Veracruz,Cafeto,Cuarto Trimestre,Trampeo y Control Químico,4242,2338
Plagas Reglamentadas del Aguacatero,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Colima,Aguacatero,Cuarto Trimestre,Control Cultural y Control Químico,2,120
Plagas Reglamentadas del Aguacatero,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Estado de México,Aguacatero,Cuarto Trimestre,Control Cultural y Control Químico,165,92
Plagas Reglamentadas del Aguacatero,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Jalisco,Aguacatero,Cuarto Trimestre,Control Cultural y Control Químico,143,171
Plagas Reglamentadas del Aguacatero,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Michoacán,Aguacatero,Cuarto Trimestre,Control Cultural y Control Químico,56,98
Plagas Reglamentadas del Aguacatero,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Morelos,Aguacatero,Cuarto Trimestre,Control Cultural y Control Químico,125,123
Plagas Reglamentadas del Aguacatero,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Nayarit,Aguacatero,Cuarto Trimestre,Control Cultural y Control Químico,202,441
Plagas Reglamentadas del Aguacatero,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Puebla,Aguacatero,Cuarto Trimestre,Control Cultural y Control Químico,145,189
Campaña contra Moko del Plátano,Moko del Plátano (Ralstonia solanacearum Raza 2); Fusarium sacchari,Chiapas,Plátano,Cuarto Trimestre,Muestreo y Control Químico (manejo de focos de infección - acciones de erradicación),738,7
Campaña contra Moko del Plátano,Moko del Plátano (Ralstonia solanacearum Raza 2); Fusarium sacchari,Tabasco,Plátano,Cuarto Trimestre,Muestreo y Control Químico (manejo de focos de infección - acciones de erradicación),2661,37
Plagas Reglamentadas del Algodonero,Gusano rosado (Pectinophora gossypiella) y Picudo del algodonero (Anthonomus grandis),Baja California,Algodón,CuartoTrimestre,Trampeo,"7,694",315
Plagas Reglamentadas del Algodonero,Gusano rosado (Pectinophora gossypiella) y Picudo del algodonero (Anthonomus grandis),Chihuahua,Algodón,CuartoTrimestre,Control Cultural y Trampeo,"57,639",861
Plagas Reglamentadas del Algodonero,Gusano rosado (Pectinophora gossypiella) y Picudo del algodonero (Anthonomus grandis),Coahuila,Algodón,Cuarto Trimestre,"Control Cultural, Trampeo y Control Químico",649,32
Plagas Reglamentadas del Algodonero,Gusano rosado (Pectinophora gossypiella) y Picudo del algodonero (Anthonomus grandis),Durango,Algodón,Cuarto Trimestre,Control Cultural y Trampeo,2,1
Plagas Reglamentadas del Algodonero,Gusano rosado (Pectinophora gossypiella) y Picudo del algodonero (Anthonomus grandis),Sonora,Algodón,Cuarto Trimestre,Trampeo,"2,055",48
Plagas Reglamentadas del Algodonero,Gusano rosado (Pectinophora gossypiella) y Picudo del algodonero (Anthonomus grandis),Tamaulipas,Algodón,Cuarto Trimestre,Control Cultural y Trampeo,"2,558",25
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Campeche,Pasto,Cuarto Trimestre,Control Quimico,323,25
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Chiapas,Pasto,Cuarto Trimestre,Control Quimico,226,39
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Chiapas,Pasto,Cuarto Trimestre,Control Biologico,14,4
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Guerrero,Pasto,Cuarto Trimestre,Control Quimico,210,20
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Jalisco,Caña de azucar,Cuarto Trimestre,Control Quimico,1162,382
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Michoacan,Platano,Cuarto Trimestre,Control Quimico,28,1
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Morelos,Pasto,Cuarto Trimestre,Control Quimico,311,7
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Morelos,Pasto,Cuarto Trimestre,Control Biologico,50,2
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Oaxaca,Caña de azucar,Cuarto Trimestre,Control Quimico,29,6
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Oaxaca,Pasto,Cuarto Trimestre,Control Quimico,11,2
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Oaxaca,Piña,Cuarto Trimestre,Control Quimico,59,8
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Oaxaca,Sorgo,Cuarto Trimestre,Control Quimico,4,1
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Oaxaca,Caña de azucar,Cuarto Trimestre,Control Biologico,5,4
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Oaxaca,Maíz,Cuarto Trimestre,Control Biologico,3,1
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Oaxaca,Pasto,Cuarto Trimestre,Control Biologico,5,3
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Oaxaca,Piña,Cuarto Trimestre,Control Biologico,6,2
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Puebla,Frijol,Cuarto Trimestre,Control Quimico,2,1
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Puebla,Sorgo,Cuarto Trimestre,Control Quimico,74,5
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Puebla,Pasto,Cuarto Trimestre,Control Quimico,141,4
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",San Luis Potosi,Caña de azucar,Cuarto Trimestre,Control Quimico,585,38
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",San Luis Potosi,Maíz,Cuarto Trimestre,Control Quimico,10,1
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",San Luis Potosi,Sorgo,Cuarto Trimestre,Control Quimico,15,3
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",San Luis Potosi,Soya,Cuarto Trimestre,Control Quimico,278,18
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",San Luis Potosi,Pasto,Cuarto Trimestre,Control Quimico,154,9
